pattern,canonical
WM SUPERCENTER,WALMART
WAL-MART,WALMART
WM ,WALMART
DICKSSPORTINGGOODS,DICK'S SPORTING GOODS
DICKS SPORTINGGOODS,DICK'S SPORTING GOODS
ADIDASONLINESTORE,ADIDAS
ADIDAS,ADIDAS
H-MART,H MART
H MART,H MART
FOOD 4 LESS,FOOD 4 LESS
DD ,DOORDASH
DD,DOORDASH
PURCHASE DD,DOORDASH
GH ,GRUBHUB
GH,GRUBHUB
STM,STEAM
ATT*BILL PAYMENT,AT&T
EXXON,EXXON
KAUAI COFFEE,KAUAI COFFEE COMPANY
POS CITY FRESH MARKET,CITY MARKET
UPS,UPS
AMC ,AMC THEATRES
HOTELS.COM,HOTELS.COM
HOTELS COM,HOTELS.COM
STUBHUB,STUBHUB
WOODMAN'S,WOODMAN'S MARKET
FRYS FOOD,FRY'S FOOD AND DRUG
