descriptor_id,raw_descriptor,cleaned_descriptor,best_guess,score
015fab2a-f6fb-41b5-8815-58d61c0325a8,SP KAUAI COFFEE,SP KAUAI COFFEE,UPS,50.0
121bfa32-ec81-408f-8759-73173b8785a5,Cheddar's,CHEDDAR S,HARRY'S,54.54545454545454
1a0961be-516f-4803-afeb-c9fb6f66068c,BESTBUY.COM,BESTBUY COM,HOTELS.COM,50.0
1cb23dd7-5e22-45d2-a7a9-38dee263f45b,BESTBUY.COM,BESTBUY COM,HOTELS.COM,50.0
1f13797f-3606-4379-bfda-3e10eac50e46,WMT PLUS Dec 2024,WMT PLUS DEC,UPS,66.66666666666667
21475f2b-c184-43a5-83f5-c0f3f4fd2034,COACH CASHSTAR EGFTCRD,COACH CASHSTAR EGFTCRD,COACH OUTLET,66.66666666666667
233e1af3-575b-4bb5-b8bc-c93f6b6bc19e,KLM ECOMM VISA,KLM ECOMM VISA,KLM ROYAL DUTCH AIRLINES,54.54545454545454
2345eb8e-da30-4d50-a780-5fd2f18b5b1c,CNK*CINEMARK.COM 001,CNK,AMERICAN AIRLINES,66.66666666666667
2a7b53e0-82b4-4ce3-9ca2-2d6816441f39,WL *STEAM PURCHASE,WL,WOODMAN'S MARKET,66.66666666666667
39c47122-1b00-4189-b529-810279d765d2,COACH CASHSTAR EGFTCRD,COACH CASHSTAR EGFTCRD,COACH OUTLET,66.66666666666667
3d7c2ca5-4264-4e77-89d9-ab28b2277a4b,WMT PLUS Nov 2024,WMT PLUS NOV,UPS,66.66666666666667
3d9ebd44-e667-4b04-90e1-25f489831922,TOM THUMB #1780,TOM THUMB,STUBHUB,66.66666666666667
4121ed7a-1cbc-4be7-bc00-80702d4d6f45,WL *STEAM PURCHASE,WL,WOODMAN'S MARKET,66.66666666666667
4121f09e-197c-45ac-b8a7-e86781fb8bd7,MACYS   .COM,MACYS COM,HOTELS.COM,57.14285714285714
47e1a2ab-f60c-44b1-a1f6-c1a9d6e13c80,BC *UBER CASH,BC,CHIPOTLE,66.66666666666667
49d0d245-5f22-4d1a-aee7-7219eb013d63,WMT PLUS Dec 2024,WMT PLUS DEC,UPS,66.66666666666667
577ae87f-a5bb-4fb9-8e60-1e37180a4c73,WMT PLUS Dec 2024,WMT PLUS DEC,UPS,66.66666666666667
61614e15-d88f-4516-9cbb-6d32d18137a2,NEIMANMARCUS.COM,NEIMANMARCUS COM,HOTELS.COM,53.333333333333336
652fa50d-706e-4942-b59c-dd83aa5f469f,CNK*CINEMARK.COM 001,CNK,AMERICAN AIRLINES,66.66666666666667
65b50da0-5055-49ab-a590-389de8524f79,WL *Steam Purchase,WL,WOODMAN'S MARKET,66.66666666666667
6954b735-3e00-4e49-85bd-c5b9f16f243a,NEW SAMS.COM MEM#,NEW SAMS COM MEM,HOTELS.COM,42.10526315789473
767d826b-7f51-4ed6-b55a-40527c592576,WMT PLUS Sep 2024,WMT PLUS SEP,UPS,66.66666666666667
83f81015-ab56-42bb-8587-7aa62197a527,LOWES.COM,LOWES COM,HOTELS.COM,66.66666666666667
8715d775-8097-4a37-8504-a7a120c72a52,SP KOHAPET,SP KOHAPET,ETSY,66.66666666666667
88397369-5541-49f4-a30e-72661a622417,IN-N-OUT LV - SAHARA,IN N OUT LV SAHARA,IN-N-OUT BURGER,58.33333333333333
8bf00ea9-fcc3-4d4e-b8b2-ed1389cb2923,WMT PLUS Dec 2025,WMT PLUS DEC,UPS,66.66666666666667
8e7440fb-2d0e-414b-bd2b-092252ccba68,TOM THUMB #2580,TOM THUMB,STUBHUB,66.66666666666667
9134b448-cd6b-4da8-9e0e-e69904c7f1c4,TOM THUMB #2580,TOM THUMB,STUBHUB,66.66666666666667
92d18096-9241-489d-ab71-2ab1d2f98f8d,WMT PLUS Jul 2024,WMT PLUS JUL,UPS,66.66666666666667
a964577b-85eb-449b-8f7a-7aa7db3bf766,DLR MILK STAND,DLR MILK STAND,ASANA,60.0
