descriptor_id,descriptor,cleaned_descriptor,merchant_name,merchant_city,merchant_state,merchant_postal_code,merchant_country,merchant_id
009f1933-13df-4267-a84e-4c235502bbfd,EXXON AMAL SHAHIN,EXXON,Exxonmobil,,CA,90007,USA,7096784d-8a26-4a02-b4ad-51212289b05b
015fab2a-f6fb-41b5-8815-58d61c0325a8,SP KAUAI COFFEE,,Shopify,,HI,96741,USA,
0163975f-87ab-40f5-9262-b669f369434d,WALGREENS #5826,WALGREENS,Walgreens,,TX,75254,USA,96d73295-5392-4975-a0cd-aabca0fb7ddc
019ea5a3-5a26-43a6-8d27-d9cdff883ca3,ATT*BILL PAYMENT,ATT,At&T,,TX,752110000,USA,47a0ced9-0ab8-4832-b812-20a8a8f57e87
0288f76f-722b-41f9-b055-95010eb10e47,POS CITY FRESH MARKET NEW /,CITY MARKET,City Market,York,NY,,US,6899ec1e-99be-4a54-906c-2af2c5013b51
02d95e58-ffaa-47bf-923f-03827bc55887,Adidas Factory Store,ADIDAS,Adidas,,FL,33323-,,ab705d99-bb1a-4a3c-8c35-5d8137a8263e
02f38107-e202-4382-a469-36021e910371,FLUZAPP*SMOOTHIEKING,FLUZAPP,Fluz,,NY,,,73592572-bed3-4192-a996-b4facb35f064
03246409-7aa6-46bf-bda6-18b1727ae2f4,Dick's Sportinggoods,DICK S SPORTINGGOODS,Dick'S Sporting Goods,Victor,NY,,,b8ebe955-2f56-410a-9608-0b14e70bbe56
03525435-d461-4f6f-89e8-124363bafecd,WM SUPERCENTER #1960,WALMART,Walmart,,FL,,USA,b44e177a-7699-4b7b-9e48-0aa438f3edef
03ba6cd2-b536-4207-854c-7cc79a36c90d,AVIANCA,AVIANCA,Avianca Airlines,,FL,33166,USA,5c731ebd-a292-4854-870f-1b09236f19f7
03c4f139-e553-4f96-a31d-d461ba55084e,COCA COLA TUCSON,COCA COLA TUCSON,Coca Cola,,AZ,85743,USA,2c184a9b-0aa1-4f59-a443-51f39748c4ea
059d54ee-a7a5-44cf-b58c-802dfda31b41,FRYS-FOOD 2626 83RD AV,,FRYS-FOOD 2626 83RD AV,,AZ,85043,USA,
068b9f7b-56dd-4318-9e76-0c6c15308cce,WWW COSTCO COM,WWW COSTCO COM,Costco,,WA,98027,USA,902e7383-061f-44a8-8faa-4582d559dd3e
06ad7b26-09ee-4395-b199-e57c45ff2647,Amc Barton,,AMC Theatres,,TX,,,
0705b3c9-f08d-4922-9036-df3db7a257ad,Chuck E Cheese,CHUCK E CHEESE,Chuck E. Cheese'S,Edison,NJ,,,bba286fa-4310-48de-86a5-463ccf3d639e
07b4a622-9bd3-4ac5-97f6-da22ed0164f7,ATT*BILL PAYMENT,ATT,At&T,,48,75202,USA,47a0ced9-0ab8-4832-b812-20a8a8f57e87
07f4a29a-7e7e-4aa6-9f62-82fe249f0a96,Klarna klarna single,KLARNA KLARNA SINGLE,Klarna,,DE,19801,USA,633a1451-a94c-47a0-9cd0-3fa2dd41ea16
093cc71e-5d40-4460-b006-f4bc415501f9,Cinemark,CINEMARK,Cinemark,,CA,,US,5b5c1b85-0a41-460d-92be-fddef50601c0
09dde7f0-1fb6-46f6-ba49-2a3453eccc92,Cinemark USA * Trial C,CINEMARK USA,Cinemark,,TX,75093,USA,5b5c1b85-0a41-460d-92be-fddef50601c0
0aa7870c-aa70-40a1-ae31-4d4db6d0900f,Domains g.co/helppay#,DOMAINS G CO HELPPAY,Domino'S,,CA,,,8f2bd73f-2847-488a-b720-ee5d6a5631b3
0adbcce5-8e9a-4886-8144-daaff98ef6a9,HOTELCOM72938922795073,HOTELCOM72938922795073,Hotels.Com,,WA,98119,USA,19fa92c4-f97b-4c2e-afb9-fe5237b4c32e
0b35e4c4-6ea8-437e-8691-5c97822b377f,Chime Bank,CHIME BANK,Chime,,CA,94108,USA,561c1c49-8179-4915-9bd8-f66b7cdd9648
0b3ea782-55e4-4b9f-83a2-ba103074502a,AMERICAN AI 0012169253590,AMERICAN AI,American Airlines,,TX,76155,USA,0c9da074-ce31-43a9-a7bf-27b3d493092a
0b421197-0461-419a-b35a-b65eba36e1eb,AVIANCA,AVIANCA,Avianca Airlines,,FL,33166,USA,5c731ebd-a292-4854-870f-1b09236f19f7
0bc90256-6d73-4888-aff3-6f295e4e73d7,ExxonMobil,EXXON,Exxonmobil,Sorrento,LA,70778,,7096784d-8a26-4a02-b4ad-51212289b05b
0c196dc8-7152-4256-af09-6ea71d6cf51f,CITY MARKET #0443,CITY MARKET,City Market,,CO,,USA,6899ec1e-99be-4a54-906c-2af2c5013b51
0c2352d1-e364-4dd7-9a24-3e28101c66a1,FOOD LION #0742 1319 M,FOOD LION M,Food Lion,,NC,28405,USA,7a8748f9-92f2-4707-bce0-fc112761b4a1
0c280735-b79e-4a90-b199-4328e8e580c9,Purchase DD *DOORDASH SUBWAY,,Subway,,CA,,US,
0c51b183-918d-4646-8a8c-dbf993ac022b,SHOPIFY* 194273009,SHOPIFY,Shopify,,IL,600076020,USA,574eb114-18e7-4e33-b47b-a0b703c24e12
0c68f4ba-a900-4021-a51b-130877d6994e,KLARNA* AT T,KLARNA,Klarna,,OH,43215,USA,633a1451-a94c-47a0-9cd0-3fa2dd41ea16
0c826ddc-dec7-4113-95ee-2fa75354236e,STAPLES PROMOT,STAPLES PROMOT,Staples,,KS,66210,USA,b823b323-cde1-4edc-8c84-f7d7520aed5e
0d068b76-490c-4658-b6bc-e0999bcc9546,Designer Shoe Warehouse,DESIGNER SHOE WAREHOUSE,Designer Shoe Warehouse,Bloomington,MN,,,bde9c3dd-2da4-4d54-b089-f19c7cc32cf9
0d429bfb-b794-4f60-8f0a-fcdc3374d417,TRADER JO TRADER JOES,TRADER JO TRADER JOES,Trader Joe'S,,CA,94526,USA,6f7809ab-f60d-49fd-bc8e-d764968ef2ee
0d60b72c-2644-4609-acf2-7ee9599ebfa6,TACO BELL 734362,TACO BELL,Taco Bell,,TN,38501,USA,abb94fe7-7084-4ace-a00d-53f446223806
0db0a313-c159-40f4-97ea-15ee1020c559,SPARKLIGHT,SPARKLIGHT,Sparklight,,AZ,850122626,USA,0169cc1a-8f7d-48eb-b6ca-d1ef88407f68
0e061570-e442-499f-b292-b6be69d24526,SAMSCLUB,SAMSCLUB,Steam,,NY,100017607,USA,543f9e7f-9e88-4374-891c-819c8483ad17
0e6fef6a-aef0-491c-b39e-07f94ab82166,Domino's,DOMINO S,Domino'S,Folsom,CA,,,8f2bd73f-2847-488a-b720-ee5d6a5631b3
0eff1e2b-65c1-4eb1-a9ea-357c219d7d73,Nintendo CA1238214189,NINTENDO CA1238214189,Nintendo Eshop,,53,98052,USA,8f624e9c-47cc-46d7-8c91-c331c7694568
0f9d7285-68f2-4bce-ac79-183ffdeeed78,Uniqlo USA LLC,UNIQLO USA LLC,Uniqlo,,NY,,USA,63f628a8-bc7a-495e-9a20-814311bfa2a5
0fac7e21-c80c-4d66-9a4e-3a4722d861c0,TESLA SUBSCRIPTION US,TESLA SUBSCRIPTION US,Tesla,,06,94304,USA,6cd60727-a74a-451a-beae-62209474ad8b
0fb250a0-4658-44b4-b72e-3dda46083bf3,ADOBE  *CREATIVE CLOUD,ADOBE,Adobe,,CA,,USA,67d7c342-a16e-434f-b0af-824f62496cb1
0fbe0e18-cefc-4d49-9597-fc2a5718f296,SHOPIFY.COM/C,SHOPIFY COM C,Shopify,,IL,600076020,USA,574eb114-18e7-4e33-b47b-a0b703c24e12
0fd8289c-46ad-433b-8716-dfea82df7854,Card Dunkin,CARD DUNKIN,Dunkin',North Port,FL,34287-,,38c51a81-748f-458c-9b02-71c0c49f286a
121bfa32-ec81-408f-8759-73173b8785a5,Cheddar's,,Cheddars Scratch Kitchen,Lutz,FL,,,
14b5ca31-ef50-4108-9377-9d0ef0882b38,Dillons,DILLONS,Dillons,Romney,WV,,,573d2f19-284d-49df-9684-5c5cb360607a
14fd6306-d4d5-44dc-a371-3064d42cda01,Buffalo Wild Wings,BUFFALO WILD WINGS,Buffalo Wild Wings,Chesapeake,OH,,,e97f7c74-dd41-4c85-98a7-8e7a2f37d9d0
1531092b-5227-4076-ae9d-52c10d46d519,SHOPIFY-CHARGE.COM,SHOPIFY CHARGE COM,Shopify,,TX,77338,USA,574eb114-18e7-4e33-b47b-a0b703c24e12
154f67ee-cc3e-4b98-b03f-04cf60c9232f,Costco,COSTCO,Costco,Lehi,UT,84043,US,902e7383-061f-44a8-8faa-4582d559dd3e
15c883ec-17fb-4e7c-885d-c15ea2f15714,Target Card Services,TARGET CARD SERVICES,Target,,27,55416,USA,5708f213-3880-4f90-9670-0d9d70430050
1800a872-3d7a-4b0c-b546-f44c531be292,City-market,CITY MARKET,City Market,Aspen,CO,,,6899ec1e-99be-4a54-906c-2af2c5013b51
1844ec26-071f-496a-9c9f-95f29dae400e,TRADER JOE?S #246,TRADER JOE S,Trader Joe'S,,CA,,USA,6f7809ab-f60d-49fd-bc8e-d764968ef2ee
19296201-99fc-4834-a184-a216b71d489f,UBER   *BANGKOKWESTT,UBER,Uber,,CA,941030000,USA,a6ebb452-1fb7-45a5-a29f-21007c26fcbc
19fa7e28-5398-4351-9867-9774e7bc81ec,Klarna,KLARNA,Klarna,,OH,43215,USA,633a1451-a94c-47a0-9cd0-3fa2dd41ea16
1a0961be-516f-4803-afeb-c9fb6f66068c,BESTBUY.COM,,BESTBUY.COM,,MN,554230000,USA,
1a2c4cf7-52c0-4e16-a2eb-7cb93295f1e2,Abercrombie Ki,ABERCROMBIE KI,Abercrombie & Fitch,,CA,,,100b54da-1090-43cf-a740-13181be51d00
1a3f1a2f-9027-47ab-b410-cb6e00ddd925,eBay O*21-12887-73318,EBAY O,Ebay,,CA,95131,USA,619e0c0f-7b7f-41a0-84d5-1920a88e5eff
1a72d06c-4ed6-4990-90f0-3c5fbcb0320f,TARGET T-3250,TARGET T,Target,,TX,78705,USA,5708f213-3880-4f90-9670-0d9d70430050
1a7399fd-5133-4da8-b8aa-731d648d79bf,Chuck E Cheese,CHUCK E CHEESE,Chuck E. Cheese'S,Orlando,FL,,,bba286fa-4310-48de-86a5-463ccf3d639e
1c90c611-5542-45f6-8110-d514491a7868,WAL-MART #0618,WAL MART,H Mart,,GA,,USA,9af19142-a550-45f6-a17f-d32a9cb1cf81
1cb23dd7-5e22-45d2-a7a9-38dee263f45b,BESTBUY.COM,,BESTBUY.COM,,MN,554230000,USA,
1dda58fb-8711-4965-8a97-657410eaa5d8,AMERICAN AIR AA ARDDMO,AMERICAN AIR AA ARDDMO,American Airlines,,AZ,85034,USA,0c9da074-ce31-43a9-a7bf-27b3d493092a
1f0784a6-60d9-4112-9ba7-436dc0d49502,UPS*BILLING CENTER,UPS,Ups,,13,30328,USA,08b9685d-ce88-4343-9f5f-8921840b455f
1f13797f-3606-4379-bfda-3e10eac50e46,WMT PLUS Dec 2024,,WMT PLUS Dec 2024,,AR,72716,USA,
1fc27531-8e67-4496-a776-7c30be86aca2,H MART IRVINE WESTPARK,H MART,H Mart,,CA,92606,USA,9af19142-a550-45f6-a17f-d32a9cb1cf81
